model	task	rep	verdict
deepseek-r1	t1	1	PASS
deepseek-r1	t1	2	PASS
deepseek-r1	t1	3	PASS
deepseek-r1	t1	agg	3/3
deepseek-r1	t2	1	PASS
deepseek-r1	t2	2	PASS
deepseek-r1	t2	3	PASS
deepseek-r1	t2	agg	3/3
deepseek-r1	t3	1	PASS
deepseek-r1	t3	2	PASS
deepseek-r1	t3	3	PASS
deepseek-r1	t3	agg	3/3
coder-next	t1	1	PASS
coder-next	t1	2	PASS
coder-next	t1	3	PASS
coder-next	t1	agg	3/3
coder-next	t2	1	PASS
coder-next	t2	2	PASS
coder-next	t2	3	PASS
coder-next	t2	agg	3/3
coder-next	t3	1	PASS
coder-next	t3	2	PASS
coder-next	t3	3	PASS
coder-next	t3	agg	3/3
